name,consistency_rating_points,submission_rating_points,consistency_rating,submission_rating,final_rating
gunabegur,58.47447319,419,10,10,10
udaykiranpulasetti,55.42097351,409,10,9.9,9.95
tanay.nagar,45.97581285,415,9.9,10,9.95
projectplanner20,42.76979118,445,9.8,10,9.9
vishwakarmasuraj10,46.33527522,360,9.9,9.7,9.8
dhyeya.shah178,40.19686549,397,9.7,9.9,9.8
uditkala20,38.8928669,404,9.7,9.9,9.8
Barfaaayush,37.64194768,411,9.6,9.9,9.75
jasleen.kaur7k,41.14548865,359,9.7,9.7,9.7
subhambose,38.67799874,381,9.6,9.8,9.7
tanmaymukerjee,36.49264761,393,9.5,9.9,9.7
kumarshankar141,44.53271247,331,9.9,9.4,9.65
mubashir11131719,43.23452225,346,9.8,9.5,9.65
vivekptl296,42.4187407,342,9.8,9.5,9.65
hit.aadarshmishra,37.54007578,368,9.6,9.7,9.65
priyadjain1996,43.65286197,327,9.9,9.3,9.6
ayushsharma81852,43.07898693,332,9.8,9.4,9.6
ashishbhalala2911,33.66529745,374,9.4,9.8,9.6
immaithil,59.66015896,312,10,9.2,9.6
banerjee.sandipan98,32.96886733,377,9.3,9.8,9.55
shubham.bhu.mca-3876,31.90642719,380,9.3,9.8,9.55
kr.utkarsh106,38.01794035,327,9.6,9.4,9.5
hargovind1606,33.11859444,348,9.4,9.6,9.5
shaikhashad35,32.07228956,369,9.3,9.7,9.5
recs.cse1632,31.70166985,386,9.2,9.8,9.5
sharma.ankit2698,47.47032859,296,9.9,9,9.45
pathademohnish,30.20800116,358,9.2,9.7,9.45
rahulnrr43,42.51407378,295,9.8,9,9.4
maheshzilpe22,31.79269159,355,9.2,9.6,9.4
aashishgangwani,38.24856494,304,9.6,9.1,9.35
madandev1994,30.16284212,333,9.2,9.5,9.35
vermaatul9565,39.26218335,291,9.7,8.9,9.3
shwetatodkar731,34.82889734,304,9.5,9.1,9.3
ponam,33.65160667,318,9.4,9.2,9.3
hkabhale99,34.20107985,296,9.5,9,9.25
sanjaykumar021999,26.16385074,350,8.9,9.6,9.25
tapasbiswas1999,33.87275388,298,9.4,9,9.2
imranhshaikh,28.62751159,324,9.1,9.3,9.2
ashokbhandari625,35.18856316,281,9.5,8.8,9.15
dasraja2810,33.98059361,289,9.4,8.9,9.15
himanshu.khandelwal27,26.37161405,331,8.9,9.4,9.15
ankixt,29.38702278,313,9.1,9.2,9.15
poojagongalla,25.62744149,325,8.9,9.3,9.1
gatul640,28.29180445,306,9,9.2,9.1
sharmadushyant816,42.13192156,253,9.7,8.4,9.05
pulkits441,32.20147068,278,9.3,8.8,9.05
adiaditya1912,22.52189004,329,8.6,9.4,9
akashrajmane23,29.4921004,274,9.2,8.7,8.95
mahelidutta12,20.85146428,349,8.3,9.6,8.95
sravanthi.nandikonda,23.40694881,299,8.7,9.1,8.9
sourabhchavan00,20.49978385,351,8.2,9.6,8.9
januruparel151,22.02636535,301,8.6,9.1,8.85
geekydv,21.34411706,303,8.5,9.1,8.8
pks631465,20.54352107,320,8.3,9.3,8.8
vermaamisha785,25.60889649,276,8.8,8.7,8.75
simanchal9566,29.00516674,248,9.1,8.3,8.7
bhartirana2812,23.68027356,277,8.7,8.7,8.7
nkumaronline569,28.44317196,246,9,8.3,8.65
Sumitk8196,28.82106953,241,9.1,8.2,8.65
amitkrs7287,22.23212493,277,8.6,8.7,8.65
sabadafedar786,19.65646543,307,8.1,9.2,8.65
sonaraishwarya,31.96622329,229,9.3,7.9,8.6
azhad56,25.66898324,245,8.9,8.3,8.6
connectrupesh10,22.63931947,257,8.7,8.5,8.6
amanish2538,22.10665179,269,8.6,8.6,8.6
gosaviamol94,26.12387673,238,8.9,8.2,8.55
pranavsngh36,22.37985606,267,8.6,8.5,8.55
rasmiverma22,21.48510968,272,8.5,8.6,8.55
rajshukla140,21.05672812,261,8.4,8.5,8.45
sunny9467193183,19.97060371,273,8.2,8.7,8.45
nakhatkhushbu,21.31386651,246,8.5,8.3,8.4
tekumalniharika,21.28159219,252,8.4,8.4,8.4
vishal.agarwal656,19.02801646,286,8,8.8,8.4
theumar01,26.55793238,224,9,7.7,8.35
vandhana.kunchapu,24.00358918,227,8.8,7.8,8.3
arbaazk772,28.63338574,205,9.1,7.4,8.25
pankajshah.spy,14.78163398,333,7,9.5,8.25
laxmikantkurra111,18.16112937,271,7.8,8.6,8.2
vinayharwani97,20.84648566,228,8.3,7.9,8.1
rampraveshyadav24,19.15743938,241,8,8.2,8.1
zeenatafroz6499,16.82060018,269,7.6,8.6,8.1
kulkarni1994,15.36067702,298,7.2,9,8.1
balasai718,25.35657497,201,8.8,7.3,8.05
rupamdhg,18.26208766,242,7.8,8.3,8.05
umeshgardas123,15.25202807,290,7.2,8.9,8.05
koutilya.namdeo888,27.09337349,189,9,7,8
drsh0755,18.96471808,232,8,8,8
rohankyatam,20.46699255,219,8.2,7.7,7.95
vishnujnp45,19.94868775,225,8.1,7.8,7.95
prajaktchatur3,21.16490436,205,8.4,7.4,7.9
saumyaannalkar,27.5483871,177,9,6.7,7.85
krishnachimmili3,19.74700177,209,8.1,7.6,7.85
psaurabh031,16.93304465,228,7.7,7.9,7.8
tarunsrivastav28,19.17948236,214,8,7.6,7.8
shivendra786.nd,23.1150838,180,8.7,6.8,7.75
dhanrajmohite98,20.98697005,191,8.4,7.1,7.75
mangliyamukesh,18.91878194,213,7.9,7.6,7.75
chetanbujurge6424,24.48247298,176,8.8,6.6,7.7
rathodsam024,14.4689961,249,7,8.4,7.7
naresh.gajul23,20.28845296,197,8.2,7.2,7.7
1prity.gupta1,13.97654763,265,6.8,8.5,7.65
sameerkpathanofficial,13.01385295,288,6.4,8.9,7.65
taheermattur,13.23079232,270,6.6,8.6,7.6
sairahul2708,21.01606255,179,8.4,6.7,7.55
sumitlokhandedbf45,16.02086438,215,7.5,7.6,7.55
kasturepadmakar4u,22.98206278,164,8.7,6.3,7.5
pallavigurram16,16.20634305,209,7.5,7.5,7.5
sairajkonka832,15.15532109,226,7.2,7.8,7.5
me.madhavkr.mishra,15.1036093,230,7.1,7.9,7.5
wcscdwmanya,14.08826134,233,6.9,8.1,7.5
nileshshriwas57,20.94747121,171,8.3,6.6,7.45
bharambevarsha13,16.88992242,199,7.7,7.2,7.45
bijomathewjose,20.46181491,177,8.2,6.7,7.45
shravanikarale25,15.47451706,217,7.3,7.6,7.45
surajdhotre777,14.9116807,227,7.1,7.8,7.45
faceom,23.78943396,152,8.8,6,7.4
jaiswalvipul8,19.01615194,180,8,6.8,7.4
aneeshs005,17.87664958,191,7.7,7.1,7.4
